"_id","_index","_score","_type","device_cid",id,"phenomenonTime.instant","result.valueLocationGps","result.valueNumeric",resultTime
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:35.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:35.737-04:00","Jun 15, 2022 @ 08:00:35.737 -04:00","-",65,"Jun 15, 2022 @ 08:00:42.656 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:26.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:26.737-04:00","Jun 15, 2022 @ 08:00:26.737 -04:00","-",65,"Jun 15, 2022 @ 08:00:32.623 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:15.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:15.737-04:00","Jun 15, 2022 @ 08:00:15.737 -04:00","-",65,"Jun 15, 2022 @ 08:00:21.587 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:06.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T08:00:06.737-04:00","Jun 15, 2022 @ 08:00:06.737 -04:00","-",65,"Jun 15, 2022 @ 08:00:12.559 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/location/location/2022-06-15T08:00:00.530-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/location/location/2022-06-15T08:00:00.530-04:00","Jun 15, 2022 @ 08:00:00.530 -04:00","{
  ""coordinates"": [
    45.34317397999998,
    -71.84445952999997
  ],
  ""type"": ""Point""
}",0,"Jun 15, 2022 @ 08:00:01.524 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:59.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:59.737-04:00","Jun 15, 2022 @ 07:59:59.737 -04:00","-",66,"Jun 15, 2022 @ 08:00:01.524 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:36.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:36.737-04:00","Jun 15, 2022 @ 07:59:36.737 -04:00","-",65,"Jun 15, 2022 @ 07:59:42.442 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:28.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:28.737-04:00","Jun 15, 2022 @ 07:59:28.737 -04:00","-",65,"Jun 15, 2022 @ 07:59:32.409 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:18.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:18.737-04:00","Jun 15, 2022 @ 07:59:18.737 -04:00","-",64,"Jun 15, 2022 @ 07:59:22.375 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:09.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:59:09.737-04:00","Jun 15, 2022 @ 07:59:09.737 -04:00","-",65,"Jun 15, 2022 @ 07:59:11.339 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:56.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:56.737-04:00","Jun 15, 2022 @ 07:58:56.737 -04:00","-",66,"Jun 15, 2022 @ 07:59:01.306 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:45.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:45.737-04:00","Jun 15, 2022 @ 07:58:45.737 -04:00","-",65,"Jun 15, 2022 @ 07:58:52.264 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:35.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:35.737-04:00","Jun 15, 2022 @ 07:58:35.737 -04:00","-",65,"Jun 15, 2022 @ 07:58:42.217 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:28.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:28.737-04:00","Jun 15, 2022 @ 07:58:28.737 -04:00","-",65,"Jun 15, 2022 @ 07:58:32.182 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:17.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:17.737-04:00","Jun 15, 2022 @ 07:58:17.737 -04:00","-",65,"Jun 15, 2022 @ 07:58:22.148 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:05.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:58:05.737-04:00","Jun 15, 2022 @ 07:58:05.737 -04:00","-",66,"Jun 15, 2022 @ 07:58:12.115 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:55.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:55.737-04:00","Jun 15, 2022 @ 07:57:55.737 -04:00","-",67,"Jun 15, 2022 @ 07:58:02.080 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:45.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:45.737-04:00","Jun 15, 2022 @ 07:57:45.737 -04:00","-",67,"Jun 15, 2022 @ 07:57:53.041 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:36.737-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:36.737-04:00","Jun 15, 2022 @ 07:57:36.737 -04:00","-",68,"Jun 15, 2022 @ 07:57:42.006 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:29.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:29.323-04:00","Jun 15, 2022 @ 07:57:29.323 -04:00","-",67,"Jun 15, 2022 @ 07:57:35.980 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:14.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:57:14.323-04:00","Jun 15, 2022 @ 07:57:14.323 -04:00","-",67,"Jun 15, 2022 @ 07:57:20.934 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:58.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:58.323-04:00","Jun 15, 2022 @ 07:56:58.323 -04:00","-",65,"Jun 15, 2022 @ 07:57:01.872 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:52.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:52.323-04:00","Jun 15, 2022 @ 07:56:52.323 -04:00","-",66,"Jun 15, 2022 @ 07:56:55.840 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:41.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:41.323-04:00","Jun 15, 2022 @ 07:56:41.323 -04:00","-",66,"Jun 15, 2022 @ 07:56:45.806 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:28.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:28.323-04:00","Jun 15, 2022 @ 07:56:28.323 -04:00","-",66,"Jun 15, 2022 @ 07:56:31.747 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:16.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:16.323-04:00","Jun 15, 2022 @ 07:56:16.323 -04:00","-",64,"Jun 15, 2022 @ 07:56:21.714 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:08.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:08.323-04:00","Jun 15, 2022 @ 07:56:08.323 -04:00","-",65,"Jun 15, 2022 @ 07:56:11.680 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:03.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:56:03.323-04:00","Jun 15, 2022 @ 07:56:03.323 -04:00","-",65,"Jun 15, 2022 @ 07:56:05.658 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:49.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:49.323-04:00","Jun 15, 2022 @ 07:55:49.323 -04:00","-",64,"Jun 15, 2022 @ 07:55:55.612 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:38.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:38.323-04:00","Jun 15, 2022 @ 07:55:38.323 -04:00","-",64,"Jun 15, 2022 @ 07:55:41.569 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:28.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:28.323-04:00","Jun 15, 2022 @ 07:55:28.323 -04:00","-",65,"Jun 15, 2022 @ 07:55:31.536 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:18.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:18.323-04:00","Jun 15, 2022 @ 07:55:18.323 -04:00","-",67,"Jun 15, 2022 @ 07:55:21.501 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:08.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:55:08.323-04:00","Jun 15, 2022 @ 07:55:08.323 -04:00","-",66,"Jun 15, 2022 @ 07:55:11.467 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/location/location/2022-06-15T07:55:00.456-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/location/location/2022-06-15T07:55:00.456-04:00","Jun 15, 2022 @ 07:55:00.456 -04:00","{
  ""coordinates"": [
    45.34317397999998,
    -71.84445952999997
  ],
  ""type"": ""Point""
}",0,"Jun 15, 2022 @ 07:55:01.435 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:59.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:59.323-04:00","Jun 15, 2022 @ 07:54:59.323 -04:00","-",66,"Jun 15, 2022 @ 07:55:06.446 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:48.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:48.323-04:00","Jun 15, 2022 @ 07:54:48.323 -04:00","-",63,"Jun 15, 2022 @ 07:54:51.391 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:38.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:38.323-04:00","Jun 15, 2022 @ 07:54:38.323 -04:00","-",63,"Jun 15, 2022 @ 07:54:41.341 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:28.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:28.323-04:00","Jun 15, 2022 @ 07:54:28.323 -04:00","-",66,"Jun 15, 2022 @ 07:54:31.307 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:17.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:17.323-04:00","Jun 15, 2022 @ 07:54:17.323 -04:00","-",67,"Jun 15, 2022 @ 07:54:21.273 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:08.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:54:08.323-04:00","Jun 15, 2022 @ 07:54:08.323 -04:00","-",66,"Jun 15, 2022 @ 07:54:11.240 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:53:59.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:53:59.323-04:00","Jun 15, 2022 @ 07:53:59.323 -04:00","-",65,"Jun 15, 2022 @ 07:54:05.216 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:53:48.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:53:48.323-04:00","Jun 15, 2022 @ 07:53:48.323 -04:00","-",65,"Jun 15, 2022 @ 07:53:51.163 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:53:43.323-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:53:43.323-04:00","Jun 15, 2022 @ 07:53:43.323 -04:00","-",68,"Jun 15, 2022 @ 07:53:46.145 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:51:29.049-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:51:29.049-04:00","Jun 15, 2022 @ 07:51:29.049 -04:00","-",68,"Jun 15, 2022 @ 07:51:34.669 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:51:21.049-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:51:21.049-04:00","Jun 15, 2022 @ 07:51:21.049 -04:00","-",68,"Jun 15, 2022 @ 07:51:24.634 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:51:12.049-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:51:12.049-04:00","Jun 15, 2022 @ 07:51:12.049 -04:00","-",68,"Jun 15, 2022 @ 07:51:14.602 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:50:57.049-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:50:57.049-04:00","Jun 15, 2022 @ 07:50:57.049 -04:00","-",67,"Jun 15, 2022 @ 07:51:01.558 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy+Long/80657C239C79/heartRate/heartRate/2022-06-15T07:50:46.049-04:00","om-80657c239c79-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy Long/80657C239C79/heartRate/heartRate/2022-06-15T07:50:46.049-04:00","Jun 15, 2022 @ 07:50:46.049 -04:00","-",68,"Jun 15, 2022 @ 07:50:51.516 -04:00"
